Head,145,67,Walk (1).jpeg
Tail-1,81,150,Walk (1).jpeg
Tail-2,43,136,Walk (1).jpeg
Torso,128,128,Walk (1).jpeg
Right-Shoulder,114,115,Walk (1).jpeg
Right-Elbow,107,132,Walk (1).jpeg
Right-Hand,118,150,Walk (1).jpeg
Left-Hand,156,147,Walk (1).jpeg
Right-Hip,98,152,Walk (1).jpeg
Right-Knee,121,172,Walk (1).jpeg
Right-Foot,112,200,Walk (1).jpeg
Left-Foot,129,189,Walk (1).jpeg
Left-Knee,147,166,Walk (1).jpeg
Left-Hip,150,154,Walk (1).jpeg
Head,141,58,Walk (2).jpeg
Tail-2,47,128,Walk (2).jpeg
Tail-1,82,146,Walk (2).jpeg
Torso,129,123,Walk (2).jpeg
Right-Hand,130,139,Walk (2).jpeg
Right-Elbow,110,128,Walk (2).jpeg
Right-Shoulder,114,110,Walk (2).jpeg
Left-Hand,138,141,Walk (2).jpeg
Right-Foot,88,201,Walk (2).jpeg
Right-Knee,107,177,Walk (2).jpeg
Right-Hip,97,148,Walk (2).jpeg
Left-Foot,140,189,Walk (2).jpeg
Left-Knee,143,170,Walk (2).jpeg
Left-Hip,150,150,Walk (2).jpeg
Head,140,54,Walk (3).jpeg
Tail-1,77,141,Walk (3).jpeg
Tail-2,50,117,Walk (3).jpeg
Torso,128,119,Walk (3).jpeg
Right-Shoulder,112,105,Walk (3).jpeg
Right-Elbow,114,122,Walk (3).jpeg
Right-Hand,135,122,Walk (3).jpeg
Left-Hand,120,135,Walk (3).jpeg
Right-Hip,98,138,Walk (3).jpeg
Right-Knee,93,174,Walk (3).jpeg
Right-Foot,68,194,Walk (3).jpeg
Left-Foot,156,186,Walk (3).jpeg
Left-Knee,149,164,Walk (3).jpeg
Left-Hip,149,146,Walk (3).jpeg
Head,135,54,Walk (4).jpeg
Tail-2,49,115,Walk (4).jpeg
Tail-1,79,140,Walk (4).jpeg
Torso,128,119,Walk (4).jpeg
Right-Hand,137,123,Walk (4).jpeg
Right-Elbow,112,123,Walk (4).jpeg
Right-Shoulder,112,105,Walk (4).jpeg
Left-Hand,112,138,Walk (4).jpeg
Right-Foot,66,197,Walk (4).jpeg
Right-Knee,95,177,Walk (4).jpeg
Right-Hip,97,140,Walk (4).jpeg
Left-Foot,157,187,Walk (4).jpeg
Left-Knee,151,164,Walk (4).jpeg
Left-Hip,149,148,Walk (4).jpeg
Head,138,60,Walk (5).jpeg
Tail-1,80,146,Walk (5).jpeg
Tail-2,46,125,Walk (5).jpeg
Torso,129,122,Walk (5).jpeg
Right-Shoulder,114,110,Walk (5).jpeg
Right-Elbow,111,128,Walk (5).jpeg
Right-Hand,130,140,Walk (5).jpeg
Left-Hand,134,133,Walk (5).jpeg
Right-Hip,96,142,Walk (5).jpeg
Right-Knee,110,181,Walk (5).jpeg
Right-Foot,89,198,Walk (5).jpeg
Left-Foot,145,195,Walk (5).jpeg
Left-Knee,146,171,Walk (5).jpeg
Left-Hip,150,153,Walk (5).jpeg
Head,143,65,Walk (6).jpeg
Tail-2,43,136,Walk (6).jpeg
Tail-1,81,151,Walk (6).jpeg
Torso,129,126,Walk (6).jpeg
Right-Hand,117,149,Walk (6).jpeg
Right-Elbow,106,131,Walk (6).jpeg
Right-Shoulder,114,114,Walk (6).jpeg
Left-Hand,155,147,Walk (6).jpeg
Right-Foot,98,186,Walk (6).jpeg
Right-Knee,119,170,Walk (6).jpeg
Right-Hip,97,149,Walk (6).jpeg
Left-Foot,131,198,Walk (6).jpeg
Left-Knee,135,179,Walk (6).jpeg
Left-Hip,146,161,Walk (6).jpeg
Head,142,60,Walk (7).jpeg
Tail-1,83,146,Walk (7).jpeg
Tail-2,48,126,Walk (7).jpeg
